Total_Active_Power,Total_Reac_Power
1364.173801,229.5862108
1284.675699,192.920348
1280.057893,192.5944886
1238.060239,184.3079635
1284.44998,159.1619186
1249.395772,171.758857
1365.611658,201.2426581
1460.096528,235.8004014
1517.268781,270.6005382
1592.986777,309.7238264
1658.318648,305.6389375
1704.822713,314.4401608
1645.162251,302.8843044
1637.246443,324.5987556
1626.567734,319.4242584
1658.748236,333.9631957
1704.756564,346.6045059
1856.744013,404.5356124
1823.841717,381.5485923
1736.946431,378.8355536
1731.937593,355.4209378
1625.556265,304.0715097
1568.162529,281.8351505
1301.550332,182.789065
1186.49131,159.5085511
1160.374341,148.3245576
1136.790541,140.1293206
1140.900679,146.2378332
1136.821502,155.2112496
1195.123007,119.0359998
1275.239103,190.022236
1424.027512,220.4758955
1601.50722,306.7142047
1813.735813,359.0227103
1937.636817,425.8794944
1991.958591,430.4465441
1958.176367,424.0616529
1919.899482,425.2723817
1842.084479,344.4694335
1868.97851,389.4691189
1951.268579,414.5673189
2055.890692,518.9447195
1961.389806,427.209542
1881.385483,423.7241242
1789.324948,399.3662732
1625.803952,314.2918623
1439.651082,240.2185161
1256.722762,213.5054468
1047.460363,156.4274155
1001.317737,131.4187008
998.9873936,142.1529806
1061.267968,173.2847759
1087.530902,172.5120172
1222.104063,230.5548941
1562.226205,346.7443571
1852.572814,511.1529965
1908.125127,516.2170194
1884.461669,441.2935035
2022.050559,485.5464815
2079.870266,563.1628282
2037.322248,570.7046297
2051.627945,543.1207544
2019.226218,537.8601047
1996.808746,542.8976005
1987.880378,483.3842945
2078.664325,484.6092856
2063.58529,520.5332371
2027.57343,499.8658566
1950.102855,464.6638516
1839.213988,443.0960629
1646.746907,367.6172639
1428.434487,277.2203789
1354.923725,296.6566195
1334.566813,272.1869139
1342.796408,226.61785
1357.377878,281.765165
1425.150214,279.0646199
1560.581086,373.5988283
1882.272109,441.5133388
2266.346808,585.3983785
2300.348636,593.1401729
2246.655328,574.0801966
2275.748713,630.8670008
2277.568832,609.1490249
2203.709346,527.4137606
2226.009383,568.7061328
2188.464665,567.5769526
2260.703449,630.8861357
2246.13674,607.3052348
2339.898503,579.4322473
2200.933505,563.5020429
2068.347322,524.699025
1976.448017,478.4958927
1825.373703,438.2464724
1567.250272,302.6621603
1364.228917,230.4945803
1301.942582,224.858166
1285.475687,189.1552877
1274.867372,201.1534741
1310.568333,261.7610369
1383.830299,276.0870476
1534.50223,337.297911
1913.82981,426.780417
